lead_date,dry.for,normal.for,monsoon.for,lead_month,Year,region,Month,YYYYMM,dry.obs,normal.obs,monsoon.obs,Glen_Hoover,Parker_Imperial
199306,24.92,4.84,0.24,04,1993,AZ_East,6,199306,30,0,0,28838.35,-51929.76
199307,8.36,15.6,7.04,04,1993,AZ_East,7,199307,10,21,0,-11721.29,-48567.13
199308,2.16,17.64,11.2,04,1993,AZ_East,8,199308,1,16,14,78183.64,-37121.29
199309,11.12,14.76,4.12,04,1993,AZ_East,9,199309,18,10,2,75938.59,-31333.58
199310,26.76,4.2,0.04,04,1993,AZ_East,10,199310,22,9,0,77033.66,-8187.28
199306,24.32,5.2,0.48,05,1993,AZ_East,6,199306,30,0,0,28838.35,-51929.76
199307,6.04,17.24,7.72,05,1993,AZ_East,7,199307,10,21,0,-11721.29,-48567.13
199308,0.92,13,17.08,05,1993,AZ_East,8,199308,1,16,14,78183.64,-37121.29
199309,10.12,14.84,5.04,05,1993,AZ_East,9,199309,18,10,2,75938.59,-31333.58
199310,24.24,6.52,0.24,05,1993,AZ_East,10,199310,22,9,0,77033.66,-8187.28
199306,23.4,6.08,0.52,06,1993,AZ_East,6,199306,30,0,0,28838.35,-51929.76
199307,4.76,14.72,11.52,06,1993,AZ_East,7,199307,10,21,0,-11721.29,-48567.13
199308,0.84,12,18.16,06,1993,AZ_East,8,199308,1,16,14,78183.64,-37121.29
199309,10.08,14,5.92,06,1993,AZ_East,9,199309,18,10,2,75938.59,-31333.58
199310,24.68,5.96,0.36,06,1993,AZ_East,10,199310,22,9,0,77033.66,-8187.28
199307,6.96,18.72,4.32,07,1993,AZ_East,7,199307,10,21,0,-11721.29,-48567.13
199308,3.56,16.4,11.04,07,1993,AZ_East,8,199308,1,16,14,78183.64,-37121.29
199309,10.28,14.64,6.08,07,1993,AZ_East,9,199309,18,10,2,75938.59,-31333.58
199310,25.56,4.2,0.24,07,1993,AZ_East,10,199310,22,9,0,77033.66,-8187.28
199308,2.8,18.96,8.24,08,1993,AZ_East,8,199308,1,16,14,78183.64,-37121.29
199309,9.2,15.36,6.44,08,1993,AZ_East,9,199309,18,10,2,75938.59,-31333.58
199310,26,4.64,0.36,08,1993,AZ_East,10,199310,22,9,0,77033.66,-8187.28
199406,23.16,6.56,0.28,04,1994,AZ_East,6,199406,25,5,0,-1937.38,-183623.43
199407,5.36,15.88,9.76,04,1994,AZ_East,7,199407,17,14,0,19042.34,-182991.97
199408,0.88,14.08,16.04,04,1994,AZ_East,8,199408,0,21,10,37627.94,-39379.91
199409,5.72,16.56,7.72,04,1994,AZ_East,9,199409,12,15,3,71959.2,-19856.31
