lead_date,dry,normal,monsoon,lead_month,Year,region,Month
198106,24.44,4.96,0.6,04,1981,AZ_East,6
198107,4.44,15.44,11.12,04,1981,AZ_East,7
198108,0.6,14.36,16.04,04,1981,AZ_East,8
198109,7.88,15,7.12,04,1981,AZ_East,9
198110,26.24,4.48,0.28,04,1981,AZ_East,10
198106,25.8,3.96,0.24,05,1981,AZ_East,6
198107,4.36,17.6,9.04,05,1981,AZ_East,7
198108,2.36,14,14.64,05,1981,AZ_East,8
198109,11.76,13.84,4.4,05,1981,AZ_East,9
198110,25,5.8,0.2,05,1981,AZ_East,10
198106,24.28,5.36,0.36,06,1981,AZ_East,6
198107,5.32,16.76,8.92,06,1981,AZ_East,7
198108,2.04,14.36,14.6,06,1981,AZ_East,8
198109,10.68,14.04,5.28,06,1981,AZ_East,9
198110,27.48,3.32,0.2,06,1981,AZ_East,10
198107,3.96,19.48,6.56,07,1981,AZ_East,7
198108,1.72,16.28,13,07,1981,AZ_East,8
198109,14.4,12.32,4.28,07,1981,AZ_East,9
198110,27.24,2.32,0.44,07,1981,AZ_East,10
198108,4.36,19.36,6.28,08,1981,AZ_East,8
198109,12.16,14.88,3.96,08,1981,AZ_East,9
198110,25.44,5.4,0.16,08,1981,AZ_East,10
198206,26.36,3.56,0.08,04,1982,AZ_East,6
198207,6.88,16.12,8,04,1982,AZ_East,7
198208,0.8,13.96,16.24,04,1982,AZ_East,8
198209,7.36,15.36,7.28,04,1982,AZ_East,9
198210,23.2,6.72,1.08,04,1982,AZ_East,10
198206,24.92,4.32,0.76,05,1982,AZ_East,6
198207,6.96,16.32,7.72,05,1982,AZ_East,7
198208,1.32,15.92,13.76,05,1982,AZ_East,8
198209,9.24,15.6,5.16,05,1982,AZ_East,9
198210,25.56,5.24,0.2,05,1982,AZ_East,10
198206,28.16,1.76,0.08,06,1982,AZ_East,6
198207,8.4,16.16,6.44,06,1982,AZ_East,7
198208,1.2,16.4,13.4,06,1982,AZ_East,8
198209,9.6,15.2,5.2,06,1982,AZ_East,9
198210,25.08,5.72,0.2,06,1982,AZ_East,10
198207,8.6,13.32,8.08,07,1982,AZ_East,7
198208,2.6,17.76,10.64,07,1982,AZ_East,8
198209,10.36,16.4,4.24,07,1982,AZ_East,9
198210,25.16,4.36,0.48,07,1982,AZ_East,10
198208,0.4,13.32,16.28,08,1982,AZ_East,8
198209,10.16,15.04,5.8,08,1982,AZ_East,9
198210,22.88,7.24,0.88,08,1982,AZ_East,10
198306,26.6,3.28,0.12,04,1983,AZ_East,6
198307,13.24,14.32,3.44,04,1983,AZ_East,7
198308,3.88,17.36,9.76,04,1983,AZ_East,8
198309,13.28,13.04,3.68,04,1983,AZ_East,9
198310,26.04,4.88,0.08,04,1983,AZ_East,10
198306,25.16,4.76,0.08,05,1983,AZ_East,6
198307,13.36,13.96,3.68,05,1983,AZ_East,7
198308,3.68,18.08,9.24,05,1983,AZ_East,8
198309,9.2,15.28,5.52,05,1983,AZ_East,9
198310,26.44,4.36,0.2,05,1983,AZ_East,10
198306,25.76,3.88,0.36,06,1983,AZ_East,6
198307,10.04,15.64,5.32,06,1983,AZ_East,7
198308,3.2,16.04,11.76,06,1983,AZ_East,8
198309,10.84,14.32,4.84,06,1983,AZ_East,9
198310,26.24,4.6,0.16,06,1983,AZ_East,10
198307,12.52,12.8,4.68,07,1983,AZ_East,7
198308,4.88,15.64,10.48,07,1983,AZ_East,8
198309,13.88,13.32,3.8,07,1983,AZ_East,9
198310,26.48,3.4,0.12,07,1983,AZ_East,10
198308,1.08,5.36,23.56,08,1983,AZ_East,8
198309,6.76,17.44,6.8,08,1983,AZ_East,9
198310,23.32,7.44,0.24,08,1983,AZ_East,10
198406,24.96,4.8,0.24,04,1984,AZ_East,6
198407,6.84,16.56,7.6,04,1984,AZ_East,7
198408,1.16,15.08,14.76,04,1984,AZ_East,8
198409,8.48,16.16,5.36,04,1984,AZ_East,9
198410,26.36,4.36,0.28,04,1984,AZ_East,10
198406,24.04,5.24,0.72,05,1984,AZ_East,6
198407,4.28,18.44,8.28,05,1984,AZ_East,7
198408,0.84,11.2,18.96,05,1984,AZ_East,8
198409,10.2,14.04,5.76,05,1984,AZ_East,9
198410,26.24,4.36,0.4,05,1984,AZ_East,10
198406,25.16,4.2,0.64,06,1984,AZ_East,6
198407,2.84,16.52,11.64,06,1984,AZ_East,7
198408,1,12.44,17.56,06,1984,AZ_East,8
198409,6.76,17.48,5.76,06,1984,AZ_East,9
198410,25.6,5.24,0.16,06,1984,AZ_East,10
198407,0.32,15,14.68,07,1984,AZ_East,7
198408,1.12,12.52,17.36,07,1984,AZ_East,8
198409,13.2,12.12,5.68,07,1984,AZ_East,9
198410,25.68,4.12,0.2,07,1984,AZ_East,10
198408,0.56,10.36,19.08,08,1984,AZ_East,8
198409,10.36,16.04,4.6,08,1984,AZ_East,9
198410,26.28,4.68,0.04,08,1984,AZ_East,10
198506,25.96,3.64,0.4,04,1985,AZ_East,6
198507,5.92,17.12,7.96,04,1985,AZ_East,7
198508,2.76,13.92,14.32,04,1985,AZ_East,8
198509,9.56,16.04,4.4,04,1985,AZ_East,9
198510,25.2,5.44,0.36,04,1985,AZ_East,10
198506,24.48,4.8,0.72,05,1985,AZ_East,6
198507,3.92,16.92,10.16,05,1985,AZ_East,7
198508,2,13.4,15.6,05,1985,AZ_East,8
198509,11.52,14.32,4.16,05,1985,AZ_East,9
198510,26.16,4.64,0.2,05,1985,AZ_East,10
198506,23.16,6.36,0.48,06,1985,AZ_East,6
198507,4,16.76,10.24,06,1985,AZ_East,7
198508,2.44,14.4,14.16,06,1985,AZ_East,8
198509,10.84,14.8,4.36,06,1985,AZ_East,9
198510,25.92,4.92,0.16,06,1985,AZ_East,10
198507,8.28,13.28,8.44,07,1985,AZ_East,7
198508,2.6,16.4,12,07,1985,AZ_East,8
198509,12.88,14.52,3.6,07,1985,AZ_East,9
198510,26.4,3.56,0.04,07,1985,AZ_East,10
198508,1.4,20.88,7.72,08,1985,AZ_East,8
198509,10.56,15.52,4.92,08,1985,AZ_East,9
198510,25.92,4.88,0.2,08,1985,AZ_East,10
198606,23.92,5,1.08,04,1986,AZ_East,6
198607,6.04,17.52,7.44,04,1986,AZ_East,7
198608,1.48,17.88,11.64,04,1986,AZ_East,8
198609,9.36,14.12,6.52,04,1986,AZ_East,9
198610,22.88,7.12,1,04,1986,AZ_East,10
198606,22.92,6.56,0.52,05,1986,AZ_East,6
198607,3.04,16.4,11.56,05,1986,AZ_East,7
198608,0.44,13.36,17.2,05,1986,AZ_East,8
198609,8.32,15.8,5.88,05,1986,AZ_East,9
198610,23.64,6.88,0.48,05,1986,AZ_East,10
198606,20.6,9.08,0.32,06,1986,AZ_East,6
198607,3.32,17.16,10.52,06,1986,AZ_East,7
198608,1.36,12,17.64,06,1986,AZ_East,8
198609,6.12,18.4,5.48,06,1986,AZ_East,9
198610,24.16,6.56,0.28,06,1986,AZ_East,10
198607,5.68,16.96,7.36,07,1986,AZ_East,7
198608,0.6,14.32,16.08,07,1986,AZ_East,8
198609,10.6,15.6,4.8,07,1986,AZ_East,9
198610,24.76,5.16,0.08,07,1986,AZ_East,10
198608,3.16,18.16,8.68,08,1986,AZ_East,8
198609,9.08,17.12,4.8,08,1986,AZ_East,9
198610,22.44,7.8,0.76,08,1986,AZ_East,10
198706,27.76,2.2,0.04,04,1987,AZ_East,6
198707,9.56,16.2,5.24,04,1987,AZ_East,7
198708,4.28,16.6,10.12,04,1987,AZ_East,8
198709,11.44,13.64,4.92,04,1987,AZ_East,9
198710,26.76,4.2,0.04,04,1987,AZ_East,10
198706,24.24,5.24,0.52,05,1987,AZ_East,6
198707,8.36,16,6.64,05,1987,AZ_East,7
198708,1.88,15.6,13.52,05,1987,AZ_East,8
198709,10.92,14.56,4.52,05,1987,AZ_East,9
198710,24.52,6.12,0.36,05,1987,AZ_East,10
198706,19.44,9.04,1.52,06,1987,AZ_East,6
198707,5.8,17.16,8.04,06,1987,AZ_East,7
198708,3.04,15.04,12.92,06,1987,AZ_East,8
198709,9.6,15.84,4.56,06,1987,AZ_East,9
198710,25.48,5.36,0.16,06,1987,AZ_East,10
198707,17.44,9.04,3.52,07,1987,AZ_East,7
198708,3.88,14.48,12.64,07,1987,AZ_East,8
198709,14.76,13.24,3,07,1987,AZ_East,9
198710,27.8,2.2,0,07,1987,AZ_East,10
198708,0.76,11.44,17.8,08,1987,AZ_East,8
198709,11.32,15.2,4.48,08,1987,AZ_East,9
198710,26.12,4.68,0.2,08,1987,AZ_East,10
198806,26.04,3.68,0.28,04,1988,AZ_East,6
198807,6.48,16.04,8.48,04,1988,AZ_East,7
198808,1.92,14.04,15.04,04,1988,AZ_East,8
198809,8,16.44,5.56,04,1988,AZ_East,9
198810,26.76,4.04,0.2,04,1988,AZ_East,10
198806,25.28,4.68,0.04,05,1988,AZ_East,6
198807,5.44,16.16,9.4,05,1988,AZ_East,7
198808,0.72,11.36,18.92,05,1988,AZ_East,8
198809,9.16,14.92,5.92,05,1988,AZ_East,9
198810,25.32,5.4,0.28,05,1988,AZ_East,10
198806,25.2,4.76,0.04,06,1988,AZ_East,6
198807,4.64,14.48,11.88,06,1988,AZ_East,7
198808,0.88,13.08,17.04,06,1988,AZ_East,8
198809,11.52,13.32,5.16,06,1988,AZ_East,9
198810,27.12,3.68,0.2,06,1988,AZ_East,10
198807,2.88,21.76,5.36,07,1988,AZ_East,7
198808,2.44,13.72,14.84,07,1988,AZ_East,8
198809,11.84,13.8,5.36,07,1988,AZ_East,9
198810,27.8,2.08,0.12,07,1988,AZ_East,10
198808,1.12,14.64,14.24,08,1988,AZ_East,8
198809,11.2,12.44,7.36,08,1988,AZ_East,9
198810,27.24,3.72,0.04,08,1988,AZ_East,10
198906,26.44,3.36,0.2,04,1989,AZ_East,6
198907,4.44,16.64,9.92,04,1989,AZ_East,7
198908,0.84,12.32,17.84,04,1989,AZ_East,8
198909,6.48,15.76,7.76,04,1989,AZ_East,9
198910,25.56,5.16,0.28,04,1989,AZ_East,10
198906,23.76,5.72,0.52,05,1989,AZ_East,6
198907,3.76,15.68,11.56,05,1989,AZ_East,7
198908,0.4,10.92,19.68,05,1989,AZ_East,8
198909,7.08,15.88,7.04,05,1989,AZ_East,9
198910,24.96,5.6,0.44,05,1989,AZ_East,10
198906,26.68,3.24,0.08,06,1989,AZ_East,6
198907,4.84,16.56,9.6,06,1989,AZ_East,7
198908,0.8,13.88,16.32,06,1989,AZ_East,8
198909,10,13.76,6.24,06,1989,AZ_East,9
198910,26.12,4.8,0.08,06,1989,AZ_East,10
198907,8.96,15.4,5.64,07,1989,AZ_East,7
198908,1.84,15.52,13.64,07,1989,AZ_East,8
198909,13.44,13.36,4.2,07,1989,AZ_East,9
198910,25.96,3.88,0.16,07,1989,AZ_East,10
198908,0.96,15.8,13.24,08,1989,AZ_East,8
198909,10.8,13.8,6.4,08,1989,AZ_East,9
198910,25.72,5.2,0.08,08,1989,AZ_East,10
199006,25.88,3.88,0.24,04,1990,AZ_East,6
199007,8.16,15.52,7.32,04,1990,AZ_East,7
199008,2.2,13.68,15.12,04,1990,AZ_East,8
199009,9.24,14.96,5.8,04,1990,AZ_East,9
199010,24.76,5.92,0.32,04,1990,AZ_East,10
199006,25.28,4.04,0.68,05,1990,AZ_East,6
199007,6.04,15.68,9.28,05,1990,AZ_East,7
199008,1.08,15.28,14.64,05,1990,AZ_East,8
199009,9.32,15.48,5.2,05,1990,AZ_East,9
199010,24.08,6.72,0.2,05,1990,AZ_East,10
199006,25,4.36,0.64,06,1990,AZ_East,6
199007,5.36,15.12,10.52,06,1990,AZ_East,7
199008,0.96,14.96,15.08,06,1990,AZ_East,8
199009,8.12,15.68,6.2,06,1990,AZ_East,9
199010,24.56,6.08,0.36,06,1990,AZ_East,10
