lead_date,dry,normal,monsoon,lead_month,Year,region,Month
197906,24,5.45,0.55,02,1979,AZ_East,6
197907,13.35,14.55,3.1,02,1979,AZ_East,7
197908,6.85,15.55,8.6,02,1979,AZ_East,8
197906,24.85,5.05,0.1,05,1979,AZ_East,6
197907,12.9,14.3,3.8,05,1979,AZ_East,7
197908,5.65,13.35,12,05,1979,AZ_East,8
197909,9.35,14.6,6.05,05,1979,AZ_East,9
197910,24.65,5.6,0.75,05,1979,AZ_East,10
197908,14.9,13.65,1.45,08,1979,AZ_East,8
197909,12.75,12.85,5.4,08,1979,AZ_East,9
197910,25.5,4.75,0.75,08,1979,AZ_East,10
198006,26,4,0,02,1980,AZ_East,6
198007,15.5,12.1,3.4,02,1980,AZ_East,7
198008,6.05,14,10.95,02,1980,AZ_East,8
198006,21.9,6.95,1.15,05,1980,AZ_East,6
198007,6.45,15.15,9.4,05,1980,AZ_East,7
198008,2.6,14,14.4,05,1980,AZ_East,8
198009,9.6,12.6,7.8,05,1980,AZ_East,9
198010,22.05,7.2,1.75,05,1980,AZ_East,10
198008,1.85,13.05,15.1,08,1980,AZ_East,8
198009,12.4,13.05,5.55,08,1980,AZ_East,9
198010,23.85,6.05,1.1,08,1980,AZ_East,10
198106,25.95,3.6,0.45,02,1981,AZ_East,6
198107,9.35,14.6,7.05,02,1981,AZ_East,7
198108,1.2,13.7,16.1,02,1981,AZ_East,8
198106,25.1,4.55,0.35,05,1981,AZ_East,6
198107,8.4,14.45,8.15,05,1981,AZ_East,7
198108,2,12.5,16.5,05,1981,AZ_East,8
198109,4.5,13.45,12.05,05,1981,AZ_East,9
198110,22.85,7.25,0.9,05,1981,AZ_East,10
198108,7.55,16.95,5.5,08,1981,AZ_East,8
198109,7.7,13.5,9.8,08,1981,AZ_East,9
198110,25.2,4.85,0.95,08,1981,AZ_East,10
198206,25.3,3.7,1,02,1982,AZ_East,6
198207,16.9,10.85,3.25,02,1982,AZ_East,7
198208,5.25,15.95,9.8,02,1982,AZ_East,8
198206,24.5,5,0.5,05,1982,AZ_East,6
198207,9.9,14.3,6.8,05,1982,AZ_East,7
198208,4.65,16.35,10,05,1982,AZ_East,8
198209,9.4,13.35,7.25,05,1982,AZ_East,9
198210,21.5,7.85,1.65,05,1982,AZ_East,10
198208,7.5,15.05,7.45,08,1982,AZ_East,8
198209,10.35,13.5,7.15,08,1982,AZ_East,9
198210,22.25,7.85,0.9,08,1982,AZ_East,10
198306,24.85,4.85,0.3,02,1983,AZ_East,6
198307,18.65,10,2.35,02,1983,AZ_East,7
198308,7.05,16.7,7.25,02,1983,AZ_East,8
