YYYYMM,dry,normal,monsoon
198206,13,17,0
198207,9,13,9
198208,2,8,21
198209,1,21,8
198210,26,4,1
198306,13,17,0
198307,3,19,9
198308,0,5,26
198309,0,16,14
198310,7,15,9
198406,16,14,0
198407,0,6,25
198408,0,5,26
198409,2,16,12
198410,17,14,0
198506,25,5,0
198507,6,12,13
198508,5,24,2
198509,6,19,5
198510,7,23,1
198606,18,12,0
198607,4,20,7
198608,3,15,13
198609,15,15,0
198610,21,10,0
198706,17,11,2
198707,11,13,7
198708,8,12,11
198709,18,12,0
198710,17,7,7
198806,14,6,10
198807,0,25,6
198808,4,11,16
198809,18,12,0
198810,14,17,0
198906,21,9,0
198907,13,15,3
198908,8,17,6
198909,12,16,2
198910,23,7,1
199006,25,3,2
199007,5,12,14
199008,7,18,6
199009,2,17,11
199010,23,8,0
199106,19,11,0
199107,4,23,4
199108,4,15,12
199109,5,18,7
199110,28,3,0
199206,14,16,0
199207,2,21,8
199208,3,11,17
199209,13,15,2
199210,20,8,3
199306,17,13,0
199307,9,21,1
199308,0,19,12
199309,17,11,2
199310,17,13,1
199406,23,7,0
199407,14,17,0
199408,3,18,10
199409,10,20,0
199410,24,7,0
199506,19,11,0
199507,9,22,0
199508,4,16,11
199509,7,13,10
199510,30,1,0
199606,25,5,0
199607,6,16,9
199608,4,20,7
199609,6,18,6
199610,26,5,0
199706,15,13,2
199707,16,11,4
199708,0,13,18
199709,0,7,23
199710,22,6,3
199806,17,13,0
199807,8,9,14
199808,0,28,3
199809,4,14,12
199810,20,11,0
199906,14,16,0
199907,0,19,12
199908,5,18,8
199909,10,15,5
199910,31,0,0
200006,17,12,1
200007,21,8,2
200008,2,22,7
200009,16,14,0
200010,10,21,0
200106,24,6,0
200107,6,17,8
200108,5,12,14
200109,14,11,5
200110,21,10,0
200206,30,0,0
200207,6,21,4
200208,18,13,0
200209,8,15,7
200210,26,5,0
200306,28,2,0
200307,15,6,10
200308,0,12,19
200309,15,6,9
200310,19,12,0
200406,25,5,0
200407,11,12,8
200408,4,19,8
200409,12,15,3
200410,15,15,1
200506,18,12,0
200507,14,6,11
200508,3,8,20
200509,15,15,0
200510,11,20,0
200606,23,7,0
200607,1,14,16
200608,0,20,11
200609,14,9,7
200610,15,15,1
200706,29,1,0
200707,8,14,9
200708,0,14,17
200709,10,14,6
200710,26,5,0
200806,29,1,0
200807,1,17,13
200808,0,20,11
200809,12,16,2
200810,27,4,0
200906,6,24,0
200907,7,15,9
200908,12,16,3
200909,9,17,4
200910,22,8,1
201006,17,13,0
201007,6,14,11
201008,1,18,12
201009,17,13,0
201010,10,20,1
201106,25,5,0
201107,6,14,11
201108,4,19,8
201109,12,11,7
201110,22,7,2
201206,28,2,0
201207,2,19,10
201208,0,10,21
201209,10,13,7
201210,22,9,0
201306,24,6,0
201307,0,20,11
201308,5,12,14
201309,7,6,17
201310,29,2,0
201406,27,3,0
201407,2,19,10
201408,1,21,9
201409,3,11,16
201410,19,12,0
201506,15,12,3
201507,3,19,9
201508,1,20,10
201509,0,27,3
201510,3,21,7
201606,20,10,0
201607,12,19,0
201608,1,27,3
201609,11,15,4
201610,15,14,2
201706,23,7,0
201707,5,4,22
201708,0,18,13
201709,5,18,7
201710,30,1,0
201806,25,5,0
201807,5,5,21
201808,2,11,18
201809,11,19,0
201810,10,16,5
