lead_date,dry,normal,monsoon,lead_month,Year,region,Month
199306,24.92,4.84,0.24,04,1993,AZ_East,6
199307,8.36,15.6,7.04,04,1993,AZ_East,7
199308,2.16,17.64,11.2,04,1993,AZ_East,8
199309,11.12,14.76,4.12,04,1993,AZ_East,9
199310,26.76,4.2,0.04,04,1993,AZ_East,10
199306,24.32,5.2,0.48,05,1993,AZ_East,6
199307,6.04,17.24,7.72,05,1993,AZ_East,7
199308,0.92,13,17.08,05,1993,AZ_East,8
199309,10.12,14.84,5.04,05,1993,AZ_East,9
199310,24.24,6.52,0.24,05,1993,AZ_East,10
199306,23.4,6.08,0.52,06,1993,AZ_East,6
199307,4.76,14.72,11.52,06,1993,AZ_East,7
199308,0.84,12,18.16,06,1993,AZ_East,8
199309,10.08,14,5.92,06,1993,AZ_East,9
199310,24.68,5.96,0.36,06,1993,AZ_East,10
199307,6.96,18.72,4.32,07,1993,AZ_East,7
199308,3.56,16.4,11.04,07,1993,AZ_East,8
199309,10.28,14.64,6.08,07,1993,AZ_East,9
199310,25.56,4.2,0.24,07,1993,AZ_East,10
199308,2.8,18.96,8.24,08,1993,AZ_East,8
199309,9.2,15.36,6.44,08,1993,AZ_East,9
199310,26,4.64,0.36,08,1993,AZ_East,10
199406,23.16,6.56,0.28,04,1994,AZ_East,6
199407,5.36,15.88,9.76,04,1994,AZ_East,7
199408,0.88,14.08,16.04,04,1994,AZ_East,8
199409,5.72,16.56,7.72,04,1994,AZ_East,9
199410,23.48,6.84,0.68,04,1994,AZ_East,10
199406,24.2,5.44,0.36,05,1994,AZ_East,6
199407,5.2,17.32,8.48,05,1994,AZ_East,7
199408,0.96,14.4,15.64,05,1994,AZ_East,8
199409,8.08,15.68,6.24,05,1994,AZ_East,9
199410,24.24,6.52,0.24,05,1994,AZ_East,10
199406,22.92,5.76,1.32,06,1994,AZ_East,6
199407,4.32,18.52,8.16,06,1994,AZ_East,7
199408,1.04,16.16,13.8,06,1994,AZ_East,8
199409,8.96,15.8,5.24,06,1994,AZ_East,9
199410,25.36,5.52,0.12,06,1994,AZ_East,10
199407,12.44,12.12,5.44,07,1994,AZ_East,7
199408,0.8,16.24,13.96,07,1994,AZ_East,8
199409,9.36,16.88,4.76,07,1994,AZ_East,9
199410,23.96,5.6,0.44,07,1994,AZ_East,10
199408,1.6,17.64,10.76,08,1994,AZ_East,8
199409,7.56,15.36,8.08,08,1994,AZ_East,9
199410,23.4,7.2,0.4,08,1994,AZ_East,10
199506,26.08,3.52,0.4,04,1995,AZ_East,6
199507,7.44,17.24,6.32,04,1995,AZ_East,7
199508,2.48,13.6,14.92,04,1995,AZ_East,8
199509,9.12,15.4,5.48,04,1995,AZ_East,9
199510,24.64,5.72,0.64,04,1995,AZ_East,10
199506,25,4.56,0.44,05,1995,AZ_East,6
199507,9.12,15.72,6.16,05,1995,AZ_East,7
199508,1.8,14.12,15.08,05,1995,AZ_East,8
199509,8,15.88,6.12,05,1995,AZ_East,9
199510,25.04,5.6,0.36,05,1995,AZ_East,10
199506,27.08,2.92,0,06,1995,AZ_East,6
199507,5.36,14.28,11.36,06,1995,AZ_East,7
199508,1.72,13.32,15.96,06,1995,AZ_East,8
199509,10.32,15.24,4.44,06,1995,AZ_East,9
199510,24.48,6.4,0.12,06,1995,AZ_East,10
199507,10.36,13.04,6.6,07,1995,AZ_East,7
199508,4.16,15.68,11.16,07,1995,AZ_East,8
199509,13.92,12.88,4.2,07,1995,AZ_East,9
199510,26.96,2.88,0.16,07,1995,AZ_East,10
199508,2.4,15.2,12.4,08,1995,AZ_East,8
199509,13.2,12.72,5.08,08,1995,AZ_East,9
199510,27.08,3.8,0.12,08,1995,AZ_East,10
199606,27.12,2.52,0.36,04,1996,AZ_East,6
199607,7.36,14.72,8.92,04,1996,AZ_East,7
199608,1.92,16.12,12.96,04,1996,AZ_East,8
199609,12.4,13.88,3.72,04,1996,AZ_East,9
199610,26.16,4.56,0.28,04,1996,AZ_East,10
199606,26,3.76,0.24,05,1996,AZ_East,6
199607,7.92,14.6,8.48,05,1996,AZ_East,7
199608,1.2,12.8,17,05,1996,AZ_East,8
199609,9.56,14.6,5.84,05,1996,AZ_East,9
199610,26.2,4.4,0.4,05,1996,AZ_East,10
199606,23.76,6.16,0.08,06,1996,AZ_East,6
199607,3.16,15.84,12,06,1996,AZ_East,7
199608,0.88,14.04,16.08,06,1996,AZ_East,8
199609,7.56,15.8,6.64,06,1996,AZ_East,9
199610,26.72,4.2,0.08,06,1996,AZ_East,10
199607,0.68,18.24,11.08,07,1996,AZ_East,7
199608,1.44,16.36,13.2,07,1996,AZ_East,8
199609,12.04,14.12,4.84,07,1996,AZ_East,9
199610,27.4,2.6,0,07,1996,AZ_East,10
199608,1.92,16.84,11.24,08,1996,AZ_East,8
199609,11,14.36,5.64,08,1996,AZ_East,9
199610,28.08,2.72,0.2,08,1996,AZ_East,10
199706,24.44,5.08,0.48,04,1997,AZ_East,6
199707,7.56,14.36,9.08,04,1997,AZ_East,7
199708,1.24,12.16,17.6,04,1997,AZ_East,8
199709,8.76,15.8,5.44,04,1997,AZ_East,9
199710,23.6,6.52,0.88,04,1997,AZ_East,10
199706,24,5.64,0.36,05,1997,AZ_East,6
199707,5.36,13.84,11.8,05,1997,AZ_East,7
199708,2.24,14.64,14.12,05,1997,AZ_East,8
199709,7.88,15.52,6.6,05,1997,AZ_East,9
199710,23.44,6.16,1.4,05,1997,AZ_East,10
199706,25,4.24,0.76,06,1997,AZ_East,6
199707,4.92,14.72,11.36,06,1997,AZ_East,7
199708,0.92,15,15.08,06,1997,AZ_East,8
199709,6.24,17.24,6.52,06,1997,AZ_East,9
199710,24,6.24,0.76,06,1997,AZ_East,10
199707,13.64,10.48,5.88,07,1997,AZ_East,7
199708,1.08,14.72,15.2,07,1997,AZ_East,8
199709,9.32,15.52,6.16,07,1997,AZ_East,9
199710,22.76,6.68,0.56,07,1997,AZ_East,10
199708,0.56,9.24,20.2,08,1997,AZ_East,8
199709,8.52,14.6,7.88,08,1997,AZ_East,9
199710,22.32,7.16,1.52,08,1997,AZ_East,10
199806,27.2,2.6,0.2,04,1998,AZ_East,6
199807,8.12,15.4,7.48,04,1998,AZ_East,7
199808,0.36,13.92,16.72,04,1998,AZ_East,8
199809,9.16,14.52,6.32,04,1998,AZ_East,9
199810,25.64,4.48,0.88,04,1998,AZ_East,10
199806,24.28,5.12,0.6,05,1998,AZ_East,6
199807,5.52,16.08,9.4,05,1998,AZ_East,7
199808,0.84,13.4,16.76,05,1998,AZ_East,8
199809,8.4,13.72,7.88,05,1998,AZ_East,9
199810,25.56,4.52,0.92,05,1998,AZ_East,10
199806,26.72,2.76,0.52,06,1998,AZ_East,6
199807,4.52,15.36,11.12,06,1998,AZ_East,7
199808,0.28,11.36,19.36,06,1998,AZ_East,8
199809,6.72,15.96,7.32,06,1998,AZ_East,9
199810,25.76,4.88,0.36,06,1998,AZ_East,10
199807,9.12,14.08,6.8,07,1998,AZ_East,7
199808,2,12.92,16.08,07,1998,AZ_East,8
199809,10.28,13.2,7.52,07,1998,AZ_East,9
199810,27.08,2.72,0.2,07,1998,AZ_East,10
199808,1.28,15.84,12.88,08,1998,AZ_East,8
199809,7.08,14.84,9.08,08,1998,AZ_East,9
199810,25.08,5.28,0.64,08,1998,AZ_East,10
199906,24.32,5.12,0.56,04,1999,AZ_East,6
199907,4.36,17.28,9.36,04,1999,AZ_East,7
199908,0.84,11.16,19,04,1999,AZ_East,8
199909,8.48,14.56,6.96,04,1999,AZ_East,9
199910,25.8,4.84,0.36,04,1999,AZ_East,10
199906,24.08,5.52,0.4,05,1999,AZ_East,6
199907,2.92,16.88,11.2,05,1999,AZ_East,7
199908,0.72,12.96,17.32,05,1999,AZ_East,8
199909,8.08,16.56,5.36,05,1999,AZ_East,9
199910,26.44,4.28,0.28,05,1999,AZ_East,10
199906,25.12,4.32,0.56,06,1999,AZ_East,6
199907,3.04,14.64,13.32,06,1999,AZ_East,7
199908,0.6,10.48,19.92,06,1999,AZ_East,8
199909,9.68,12.92,7.4,06,1999,AZ_East,9
199910,27.92,2.88,0.2,06,1999,AZ_East,10
199907,3.04,14.44,12.52,07,1999,AZ_East,7
199908,1.8,15.52,13.68,07,1999,AZ_East,8
199909,12.4,13.64,4.96,07,1999,AZ_East,9
199910,28.24,1.72,0.04,07,1999,AZ_East,10
199908,2.28,17.6,10.12,08,1999,AZ_East,8
199909,8.88,15.2,6.92,08,1999,AZ_East,9
199910,29,1.84,0.16,08,1999,AZ_East,10
200006,25.44,4.28,0.28,04,2000,AZ_East,6
200007,4.16,14.28,12.56,04,2000,AZ_East,7
200008,2.04,12.84,16.12,04,2000,AZ_East,8
200009,8.92,14.88,6.2,04,2000,AZ_East,9
200010,26.2,4.6,0.2,04,2000,AZ_East,10
200006,22.76,6.92,0.32,05,2000,AZ_East,6
200007,4.48,16.6,9.92,05,2000,AZ_East,7
200008,0.76,11.76,18.48,05,2000,AZ_East,8
200009,9.04,13.36,7.6,05,2000,AZ_East,9
200010,27.12,3.68,0.2,05,2000,AZ_East,10
200006,22.84,6.4,0.76,06,2000,AZ_East,6
200007,2.96,14.12,13.92,06,2000,AZ_East,7
200008,0.28,11.16,19.56,06,2000,AZ_East,8
200009,8.52,16.64,4.84,06,2000,AZ_East,9
200010,25.52,5.2,0.28,06,2000,AZ_East,10
200007,11.92,14.28,3.8,07,2000,AZ_East,7
200008,2.24,17.64,11.12,07,2000,AZ_East,8
200009,12.32,14.76,3.92,07,2000,AZ_East,9
200010,27.68,2.16,0.16,07,2000,AZ_East,10
200008,1.44,16.6,11.96,08,2000,AZ_East,8
